,refArea,Existence of educational resources - exists,Type and size of educational resources - vocational institute,Observation URI,references,publisher,Existence of educational resources - does not exist,Nb of universities by type - Lebanese University branches,Public school coverage index (number of schools per citizen),Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,dataset,Type and size of educational resources - private schools,Governorate,lat,lon,population,lat_gov,lon_gov
871,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Banhlay,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ouadi Banhlay,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Mount Lebanon Governorate,,,1520016,33.737305,35.5998898
872,http://dbpedia.org/resource/Matn_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Chahine,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Ouadi Chahine,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,2,Matn District,33.931882,35.6923309,750000,33.9097245,35.7167947
873,http://dbpedia.org/resource/Baabda_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Chahrour+El+Aaoulia,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,3500,1,0,Ouadi Chahrour El Aaoulia,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Baabda District,,,500000,33.8435311,35.7025213
874,http://dbpedia.org/resource/Baabda_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Chahrour+Es-Soufla,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,Ouadi Chahrour Es-Soufla,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,Baabda District,,,500000,33.8435311,35.7025213
875,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Ed-Deir,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ouadi Ed-Deir,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Mount Lebanon Governorate,33.8333333,36.2,1520016,33.737305,35.5998898
876,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+El-Haour,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,770,1,0,Ouadi El-Haour,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Akkar Governorate,,,423596,34.5555009,36.2016453
877,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+El-Karm+El-Matn,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ouadi El-Karm El-Matn,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Matn District,33.9545828,35.7494564,750000,33.9097245,35.7167947
878,https://dbpedia.org/page/South_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+El-Laymoun,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ouadi El-Laymoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,South Governorate,,,590078,33.3386412,35.3022517
879,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Es-Sitt,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ouadi Es-Sitt,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Mount Lebanon Governorate,,,1520016,33.737305,35.5998898
880,http://dbpedia.org/resource/Hermel_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Ouadi+Faara,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1,0,0,0,0,Ouadi Faara,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,Hermel District,,,48000,34.3895547,36.3034902
